species_code,common_name,scientific_name,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_cna,over_upper95,under_lower95
incdov,Inca Dove,Columbina inca,0.3701352295570964,0.01335599375687077,0.3439574817936297,0.39631297732056314,Aridlands,NA,0.3719654210793806,0,0
cogdov,Common Ground Dove,Columbina passerina,0.3701882221298983,0.0034805535719621,0.3633663371288526,0.37701010713094407,Aridlands,NA,0.49467502024786825,1,0
olsfly,Olive-sided Flycatcher,Contopus cooperi,0.3699857015402743,7.084285122266573e-4,0.36859718165631006,0.3713742214242386,Forest,Tipping Point,0.34914608666769403,0,1
wewpew,Western Wood-Pewee,Contopus sordidulus,0.370026139872176,8.635703823887047e-4,0.3683335419226942,0.3717187378216579,Forest,NA,0.377255518564148,1,0
eawpew,Eastern Wood-Pewee,Contopus virens,0.3700027254360164,7.645007042855172e-4,0.36850430405561674,0.371501146816416,Forest,NA,0.6071069878001865,1,0
blkvul,Black Vulture,Coragyps atratus,0.3699806348877234,0.00146189740220624,0.3671153159793992,0.3728459537960477,Habitat Generalist,NA,0.706596079703731,1,0
ruckin,ruby-crowned kinglet,Corthylio calendula,0.3699219664541199,3.5863378145015e-4,0.3692190442424777,0.37062488866576226,Forest,NA,0.4464337887044621,1,0
amecro,American Crow,Corvus brachyrhynchos,0.36972059392020046,0.00107632602968092,0.36761099490202587,0.37183019293837505,Habitat Generalist,NA,0.5301326596713558,1,0
comrav,Common Raven,Corvus corax,0.3692050062148675,6.060957434294322e-4,0.3680170585577458,0.3703929538719892,Habitat Generalist,NA,0.2067488970317619,0,1
chirav,Chihuahuan Raven,Corvus cryptoleucus,0.3700573598739881,0.00309992178485757,0.3639815131756672,0.3761332065723089,Aridlands,NA,0.3273789790981212,0,1
fiscro,Fish Crow,Corvus ossifragus,0.3696035606429058,0.00282137037128968,0.364073674715178,0.3751334465706336,Habitat Generalist,NA,0.5866507136088739,1,0
grbani,Groove-billed Ani,Crotophaga sulcirostris,0.37008063153903753,0.00790643735019648,0.3545840143326524,0.38557724874542265,Habitat Generalist,NA,0.1685022087662773,0,1
blujay,Blue Jay,Cyanocitta cristata,0.36993070667902633,6.492586411749271e-4,0.36865815974232347,0.3712032536157292,Forest,NA,0.5792605797053303,1,0
stejay,Steller's Jay,Cyanocitta stelleri,0.37003578392731445,0.00187269716317815,0.36636529748748525,0.37370627036714366,Forest,NA,0.530406881113187,1,0
grnjay,Green Jay,Cyanocorax yncas,0.37032558876866,0.00592813364571301,0.3587064468230625,0.3819447307142575,Aridlands,NA,0.3114404043635659,0,1
truswa,Trumpeter Swan,Cygnus buccinator,0.3700098817758012,0.00235541154678223,0.365393275144108,0.3746264884074943,Water/wetland,NA,0.1747908690642508,0,1
tunswa,Tundra Swan,Cygnus columbianus,0.3691184827056396,0.00412150054936279,0.3610403416288885,0.37719662378239066,Water/wetland,NA,0.11998583931240198,0,1
blkswi,Black Swift,Cypseloides niger,0.36975289954690455,0.00594384239374568,0.358102968455163,0.3814028306386461,Forest,Tipping Point,0.3868746366887734,1,0
soogro1,Sooty Grouse,Dendragapus fuliginosus,0.36988504082310403,0.00456246497128997,0.3609426094793757,0.3788274721668324,Forest,NA,0.29663016557361743,0,1
dusgro,Dusky Grouse,Dendragapus obscurus,0.3701681803745359,0.00279490615227133,0.3646901643160841,0.37564619643298774,Forest,NA,0.28562980890953327,0,1
fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,0.3700007992452274,0.00826743268559186,0.3537966311814673,0.38620496730898746,Water/wetland,NA,0.21617038814072131,0,1
boboli,Bobolink,Dolichonyx oryzivorus,0.36979758824033365,0.00372282064773756,0.362500859770768,0.3770943167098993,Grasslands,Tipping Point,0.3481069012005279,0,1
