species,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_cna
moublu,0.3699785640194686,0.00101014806859116,0.36799867380502993,0.3719584542339073,Forest,NA,0.31857349403188573
mouchi,0.37004951433542427,0.00179614062525862,0.36652907870991736,0.3735699499609312,Forest,NA,0.38442976827216
moudov,0.36996809206525194,5.724878068141065e-4,0.36884601596389627,0.3710901681666076,Habitat Generalist,NA,0.4240185409679045
mouplo,0.3701703579586078,0.01066594412047712,0.34926510748247264,0.391075608434743,Grasslands,Tipping Point,0.20910366646141657
mouqua,0.3700844926943207,0.00405341220385661,0.3621398047747617,0.3780291806138797,Forest,NA,0.650613156315341
mouwar,0.36995884123200207,0.00213818296090331,0.36576800262863163,0.37414967983537256,Forest,Tipping Point,0.5768765730780281
naswar,0.3699763263667471,8.50306120995542e-4,0.36830972636959586,0.37164292636389834,Forest,NA,0.49779406371889
nopowl,0.3700329203320898,0.00250149738305884,0.3651299854612944,0.37493585520288514,Forest,NA,0.5761373647363257
norbob,0.3700086607623496,0.00126997394776217,0.3675195118247357,0.37249780969996343,Forest,NA,0.4950532092307097
norcar,0.3699949445460582,6.988760315320519e-4,0.36862514752425535,0.37136474156786103,Forest,NA,0.6305354855940513
norfli,0.36995915340079527,3.2530316629285935e-4,0.36932155919486126,0.3705967476067293,Forest,NA,0.47398351357512736
norgos,0.3696279158899696,8.309526151606075e-4,0.3679992487642548,0.3712565830156844,Forest,NA,0.11793748090683298
norhar2,0.3698350693306201,6.350589150165002e-4,0.3685903538571877,0.3710797848040524,Habitat Generalist,NA,0.2737114171185264
normoc,0.36993420881473815,7.926736898133131e-4,0.36838056838270405,0.37148784924677225,Habitat Generalist,NA,0.5056284658330854
norpar,0.369956778903688,0.00110258245010703,0.3677957173014782,0.3721178405058978,Forest,NA,0.6912239597487997
norpin,0.3692215030090299,0.00208043340227704,0.3651438535405669,0.3732991524774929,Water/wetland,NA,0.20668948834717604
norsho,0.3699002134033236,0.00442214558986707,0.3612328080471841,0.37856761875946304,Water/wetland,NA,0.19776188183326115
norshr4,0.3699078181694987,7.075336397068398e-4,0.3685210522356733,0.3712945841033241,Water/wetland,NA,0.18660665804131504
norwat,0.3699014273964224,8.748092295422004e-4,0.3681868013065197,0.3716160534863251,Forest,NA,0.2556326555063082
nrwswa,0.36925966574413766,0.00140383592112831,0.36650814733872616,0.37201118414954915,Habitat Generalist,NA,0.3854042489138827
nstspa,0.36890974765190887,0.00248306104186917,0.36404294800984527,0.37377654729397247,Water/wetland,NA,0.17464240618187807
nswowl,0.36997361357904207,0.00138310285198158,0.36726273198915815,0.372684495168926,Forest,NA,0.3448922370387702
nutwoo,0.3699523848611116,0.00430173958265507,0.3615209752791077,0.37838379444311554,Forest,NA,0.6020388990937136
oaktit,0.3701076916158272,0.00507804005440612,0.36015473310919116,0.3800606501224632,Forest,NA,0.7422918429392666
olispa,0.3702011603941885,0.00515045143821545,0.3601062755752862,0.3802960452130908,Aridlands,NA,0.3605918688053862
olsfly,0.3699857015402743,7.084285122266573e-4,0.36859718165631006,0.3713742214242386,Forest,Tipping Point,0.34914608666769403
orcori,0.3696607010665188,8.51074068966395e-4,0.3679925958913447,0.37132880624169295,Forest,NA,0.5425387466007718
orcwar,0.3698832120519888,4.857447502977911e-4,0.3689311523414052,0.37083527176257247,Forest,NA,0.3101547599081321
osprey,0.3669097463817095,0.00210382534603425,0.3627862487034824,0.3710332440599366,Water/wetland,NA,0.4245793760804908
ovenbi1,0.36993926858322573,0.00140965451154388,0.3671763457405997,0.37270219142585176,Forest,NA,0.7157347722860068
pacwre1,0.3647818827862857,0.00263645052857099,0.3596144397502865,0.3699493258222848,Forest,NA,0.445401934175504
pagplo,0.3625749702491131,0.00512674832340112,0.35252654353524693,0.3726233969629793,Water/wetland,NA,0.14617682169168944
paibun,0.3700377629843419,0.00170419732670329,0.3666975362240034,0.37337798974468034,Forest,NA,0.6438746159796003
palwar,0.3698763039968512,0.00137100358237885,0.3671891369753887,0.3725634710183138,Forest,NA,0.5305176907343813
pasfly,0.3697563866505883,0.00248215083232451,0.3648913710192323,0.3746214022819444,Forest,NA,0.4125877248481764
pecsan,0.36941867556502694,0.00354645080450797,0.3624676319881913,0.37636971914186257,Water/wetland,Tipping Point,0.1171791187637665
perfal,0.36567715169175097,0.00112023882881025,0.3634814835872829,0.36787281979621905,Habitat Generalist,NA,0.22163892362338464
phaino,0.37011017012283487,0.0031927463187453,0.3638523873380941,0.3763679529075757,Aridlands,NA,0.28967072114260617
phivir,0.369993022305235,9.705155478683332e-4,0.36809081183141307,0.37189523277905695,Forest,NA,0.5374468977877163
pibgre,0.3698812172982482,0.00137664228562151,0.36718299841843,0.3725794361780664,Water/wetland,NA,0.4121557195033167
pilwoo,0.3699961992016925,9.08303616992402e-4,0.3682159241123874,0.3717764742909976,Forest,NA,0.7558339900450477
pingro,0.36982570213308075,0.00112671350710346,0.36761734365915794,0.3720340606070035,Forest,NA,0.08122817445386021
pinjay,0.3698843174612763,0.0026662445979954,0.3646584780492053,0.3751101568733473,Forest,Tipping Point,0.14024902677424933
pinsis,0.36986298425530073,8.338021602755848e-4,0.3682287320211606,0.3714972364894409,Forest,NA,0.4583710194653888
pinwar,0.3699651152662751,0.00128350725899845,0.36744944103863814,0.3724807894939121,Forest,NA,0.7739462247645013
plsvir,0.3699474260777145,0.0020987609600518,0.365833854596013,0.3740609975594161,Forest,NA,0.3286298105817069
prafal,0.37001768908482474,8.129712845414644e-4,0.3684242653671234,0.371611112802526,Aridlands,NA,0.29264002745207307
prawar,0.3699897761483581,0.00158501576399233,0.3668831452509331,0.373096407045783,Forest,Tipping Point,0.790738553961853
prowar,0.37009012500107097,0.00267314510829917,0.3648507605888046,0.3753294894133373,Forest,NA,0.6262298647609472
purfin,0.3699960869415346,8.930189366806836e-4,0.3682457698256405,0.3717464040574287,Forest,NA,0.5948285942423635
purgal2,0.36988798489971775,0.00728702576588609,0.355605414398581,0.3841705554008545,Water/wetland,NA,0.5021578429202376
purmar,0.3691905539288405,0.02760995190225365,0.3150750482004233,0.4233060596572577,Habitat Generalist,NA,0.3786918035469138
pursan,0.338974708119259,0.03772047377551985,0.2650425795192401,0.4129068367192779,Water/wetland,NA,0.8086838684673694
pygnut,0.3698272400695373,0.00437629192604248,0.36124970789449407,0.3784047722445806,Forest,NA,0.5182920905907804
pyrrhu,0.37012428362871486,0.00328755274714443,0.36368068024431177,0.37656788701311794,Aridlands,NA,0.4797924164603158
rebmer,0.3633693459486913,0.01506629788261221,0.33383940209877133,0.3928992897986113,Water/wetland,NA,0.3721315013766253
rebnut,0.3699837610929313,9.5938065694379e-4,0.3681033750053215,0.3718641471805411,Forest,NA,0.5346782200009306
rebsap,0.3698203401593455,0.00265796405409984,0.36461073061330984,0.3750299497053812,Forest,NA,0.4456120041737677
rebwoo,0.3699962300992169,7.579533635392449e-4,0.3685106415066799,0.37148181869175384,Forest,NA,0.6544458265983124
recwoo,0.3701261509508922,0.0101372562216138,0.35025712875652915,0.3899951731452552,Forest,NA,0.8827638119735237
redcro,0.3692112018017065,0.00137912832464291,0.3665081102854064,0.37191429331800663,Forest,NA,0.5084527460947119
redhea,0.3654235260310515,0.00810402740842606,0.3495396323105364,0.38130741975156657,Water/wetland,NA,0.474136514806038
redkno,0.35558091143503767,0.04015697112669111,0.2768732480267231,0.43428857484335226,Water/wetland,Tipping Point,0.48550652142268935
reevir1,0.3699167253042871,8.574631265152614e-4,0.3682360975763172,0.371597353032257,Forest,NA,0.7064622549726002
refwar,0.36962558346580954,0.01000039553216297,0.3500248082227701,0.389226358708849,Forest,NA,0.4714099321292986
rehwoo,0.3700035338022716,9.228553300251028e-4,0.3681947373554224,0.37181233024912086,Forest,Tipping Point,0.5497888786441438
rengre,0.36071977765727337,0.00487143672452612,0.35117176167720215,0.3702677936373446,Water/wetland,NA,0.3382655742171763
renpha,0.3627839576857024,0.01424663423027067,0.33486055459437186,0.3907073607770329,Water/wetland,NA,0.14327734921785568
rensap,0.3700072117195828,0.00127451038235073,0.36750917137017536,0.3725052520689902,Forest,NA,0.32842597280286556
reshaw,0.3699698963841185,9.200965294038452e-4,0.36816650718648697,0.37177328558175,Forest,NA,0.6927128858572398
rethaw,0.3699281500724051,4.5360632302085703e-4,0.3690390816792843,0.370817218465526,Habitat Generalist,NA,0.3769745543197587
retloo,0.3498542882657391,0.00822567391234467,0.33373196739754357,0.36597660913393465,Water/wetland,NA,0.4235390075560186
rewbla,0.36970670396174227,0.00650131034665874,0.35696413568229113,0.3824492722411934,Habitat Generalist,NA,0.30650034099590845
ribgul,0.36886083001169406,0.00424116315177487,0.3605481502342153,0.3771735097891728,Water/wetland,NA,0.3293972649978141
rinduc,0.3699462331432839,0.00221792729990017,0.36559909563547954,0.37429337065108825,Water/wetland,NA,0.35182093320282803
robgro,0.3699427115720971,9.469529814470292e-4,0.368086683728461,0.3717987394157333,Forest,NA,0.5424890867317564
rocsan,0.35980323611965676,0.01715377896955665,0.3261818293393257,0.3934246428999878,Water/wetland,Tipping Point,0.4225549073476853
rocwre,0.37002122136750026,0.00105826231526512,0.3679470272295806,0.3720954155054199,Aridlands,NA,0.25514716829714157
rolhaw,0.3697023827675869,8.714750855484362e-4,0.3679942915999119,0.37141047393526183,Water/wetland,NA,0.2437145531054421
rosgoo,0.3696740937304966,0.00465792337494367,0.36054456391560696,0.3788036235453862,Water/wetland,NA,0.21005674102552083
rosspo1,0.3666092819329269,0.0050420684162265,0.35672682783712295,0.3764917360287309,Water/wetland,NA,0.3970251326042935
rthhum,0.3700006279127136,8.439857797513408e-4,0.36834641578440097,0.3716548400410262,Forest,NA,0.6642010133530424
ruckin,0.3699219664541199,3.5863378145015e-4,0.3692190442424777,0.37062488866576226,Forest,NA,0.4464337887044621
