"","species_code","common_name","scientific_name","habitat","tipping_pt","avg_37pct","stdev_37pct","lower95_37pct","upper95_37pct","sum_cna","over_upper95_37pct","under_lower95_37pct","avg_44pct","stdev_44pct","lower95_44pct","upper95_44pct","sum_carbon","over_upper95_44pct","under_lower95_44pct","p_value_37pct","p_value_44pct"
"231","incdov","Inca Dove","Columbina inca","Aridlands",NA,0.37,0.0134,0.344,0.396,0.372,0,0,0.439,0.0139,0.412,0.467,0.108,0,1,1.34846686760331e-06,0
"232","indbun","Indigo Bunting","Passerina cyanea","Forest",NA,0.37,9e-04,0.368,0.372,0.589,1,0,0.44,9e-04,0.438,0.442,0.578,1,0,0,0
"233","juntit1","Juniper Titmouse","Baeolophus ridgwayi","Forest",NA,0.37,0.0028,0.364,0.376,0.225,0,1,0.44,0.0028,0.434,0.445,0.148,0,1,0,0
"234","kenwar","Kentucky Warbler","Geothlypis formosa","Forest",NA,0.37,0.0017,0.367,0.373,0.852,1,0,0.44,0.0017,0.437,0.443,0.821,1,0,0,0
"235","killde","Killdeer","Charadrius vociferus","Habitat Generalist",NA,0.37,0.001,0.368,0.372,0.271,0,1,0.44,0.001,0.438,0.442,0.258,0,1,0,0
"236","kineid","King Eider","Somateria spectabilis","Water/wetland","Tipping Point",0.331,0.0075,0.317,0.346,0.131,0,1,0.394,0.0079,0.379,0.409,0,0,1,0,0
"237","kinrai4","King Rail","Rallus elegans","Water/wetland","Tipping Point",0.369,0.0059,0.358,0.381,0.455,1,0,0.439,0.0063,0.427,0.451,0.726,1,0,0,0
"238","labwoo","Ladder-backed Woodpecker","Dryobates scalaris","Aridlands",NA,0.37,0.0017,0.367,0.373,0.44,1,0,0.44,0.0018,0.436,0.444,0.101,0,1,0,0
"239","laplon","Lapland Longspur","Calcarius lapponicus","Water/wetland",NA,0.368,0.0024,0.364,0.373,0.269,0,1,0.438,0.0024,0.433,0.443,0.281,0,1,0,0
"240","larbun","Lark Bunting","Calamospiza melanocorys","Grasslands",NA,0.37,0.0017,0.367,0.373,0.427,1,0,0.44,0.0018,0.436,0.443,0.254,0,1,0,0
"241","larspa","Lark Sparrow","Chondestes grammacus","Grasslands",NA,0.37,8e-04,0.368,0.372,0.44,1,0,0.44,9e-04,0.438,0.442,0.303,0,1,0,0
"242","lawgol","Lawrence's Goldfinch","Spinus lawrencei","Aridlands",NA,0.37,0.0036,0.363,0.377,0.539,1,0,0.44,0.0038,0.433,0.448,0.341,0,1,0,0
"243","lazbun","Lazuli Bunting","Passerina amoena","Forest",NA,0.37,0.001,0.368,0.372,0.314,0,1,0.44,0.0011,0.438,0.442,0.459,1,0,0,0
"244","leabit","Least Bittern","Ixobrychus exilis","Water/wetland",NA,0.369,0.0045,0.36,0.378,0.368,0,0,0.438,0.0047,0.429,0.447,0.544,1,0,1.94721133773619e-12,0
