species_code,common_name,scientific_name,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_carbon,over_upper95,under_lower95
lecspa,LeConte's Sparrow,Ammospiza leconteii,44.0%,0.19%,43.6%,44.4%,Grasslands,Tipping Point,25.2%,0,1
nstspa,Nelson's Sparrow,Ammospiza nelsoni,43.9%,0.26%,43.4%,44.4%,Water/wetland,NA,24.9%,0,1
bktspa,Black-throated Sparrow,Amphispiza bilineata,44.0%,0.17%,43.7%,44.3%,Aridlands,NA,2.1%,0,1
norpin,Northern Pintail,Anas acuta,43.9%,0.21%,43.5%,44.3%,Water/wetland,NA,26.1%,0,1
gnwtea,Green-winged Teal,Anas crecca,43.9%,0.31%,43.3%,44.6%,Water/wetland,NA,25.3%,0,1
motduc,Mottled Duck,Anas fulvigula,43.6%,0.77%,42.1%,45.1%,Water/wetland,Tipping Point,46.5%,1,0
mallar3,Mallard,Anas platyrhynchos,43.9%,0.31%,43.3%,44.5%,Water/wetland,NA,37.7%,0,1
ambduc,American Black Duck,Anas rubripes,43.7%,0.86%,42.0%,45.4%,Water/wetland,NA,56.2%,1,0
anhing,Anhinga,Anhinga anhinga,44.0%,0.36%,43.3%,44.7%,Water/wetland,NA,59.2%,1,0
gwfgoo,Greater White-fronted Goose,Anser albifrons,44.0%,0.21%,43.6%,44.4%,Water/wetland,NA,15.2%,0,1
snogoo,Snow Goose,Anser caerulescens,44.0%,0.28%,43.4%,44.5%,Water/wetland,NA,27.8%,0,1
rosgoo,Ross's Goose,Anser rossii,44.0%,0.46%,43.1%,44.9%,Water/wetland,NA,21.4%,0,1
amepip,American Pipit,Anthus rubescens,44.0%,0.09%,43.8%,44.1%,Water/wetland,NA,25.3%,0,1
sprpip,Sprague's Pipit,Anthus spragueii,44.0%,0.20%,43.6%,44.4%,Grasslands,Tipping Point,43.3%,0,1
sancra,Sandhill Crane,Antigone canadensis,44.0%,0.31%,43.4%,44.6%,Water/wetland,NA,26.0%,0,1
chwwid,Chuck-will's-widow,Antrostomus carolinensis,44.0%,0.17%,43.7%,44.3%,Forest,NA,71.0%,1,0
easwpw1,Eastern Whip-poor-will,Antrostomus vociferus,44.0%,0.21%,43.6%,44.4%,Forest,Tipping Point,87.7%,1,0
cowscj1,California Scrub-Jay,Aphelocoma californica,44.0%,0.40%,43.2%,44.8%,Forest,NA,52.8%,1,0
mexjay4,Mexican Jay,Aphelocoma wollweberi,44.0%,1.14%,41.7%,46.2%,Forest,NA,29.6%,0,1
wooscj2,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,44.0%,0.24%,43.5%,44.5%,Forest,NA,20.0%,0,1
goleag,Golden Eagle,Aquila chrysaetos,44.0%,0.16%,43.7%,44.3%,Habitat Generalist,NA,29.5%,0,1
limpki,Limpkin,Aramus guarauna,44.0%,1.08%,41.9%,46.1%,Water/wetland,NA,60.5%,1,0
bkchum,Black-chinned Hummingbird,Archilochus alexandri,44.0%,0.18%,43.6%,44.3%,Forest,NA,14.2%,0,1
rthhum,Ruby-throated Hummingbird,Archilochus colubris,44.0%,0.09%,43.8%,44.2%,Forest,NA,65.9%,1,0
greegr,Great Egret,Ardea alba,43.9%,0.26%,43.4%,44.4%,Water/wetland,NA,37.1%,0,1
grbher3,Great Blue Heron,Ardea herodias,43.9%,0.09%,43.7%,44.1%,Water/wetland,NA,39.6%,0,1
rudtur,Ruddy Turnstone,Arenaria interpres,41.7%,1.11%,39.5%,43.9%,Water/wetland,Tipping Point,16.8%,0,1
olispa,Olive Sparrow,Arremonops rufivirgatus,44.0%,0.52%,43.0%,45.0%,Aridlands,NA,6.2%,0,1
belspa2,Bell's Sparrow,Artemisiospiza belli,44.0%,0.53%,43.0%,45.0%,Aridlands,NA,9.2%,0,1
sagspa1,Sagebrush Sparrow,Artemisiospiza nevadensis,44.0%,0.19%,43.6%,44.4%,Aridlands,NA,11.3%,0,1
sheowl,Short-eared Owl,Asio flammeus,44.0%,0.12%,43.7%,44.2%,Habitat Generalist,NA,25.8%,0,1
loeowl,Long-eared Owl,Asio otus,44.0%,0.19%,43.6%,44.4%,Forest,NA,31.6%,0,1
burowl,Burrowing Owl,Athene cunicularia,44.0%,0.19%,43.6%,44.4%,Grasslands,NA,39.8%,0,1
verdin,Verdin,Auriparus flaviceps,44.0%,0.28%,43.4%,44.6%,Aridlands,NA,1.1%,0,1
lessca,Lesser Scaup,Aythya affinis,43.7%,0.57%,42.6%,44.8%,Water/wetland,NA,41.8%,0,1
redhea,Redhead,Aythya americana,43.4%,0.86%,41.7%,45.1%,Water/wetland,NA,36.1%,0,1
rinduc,Ring-necked Duck,Aythya collaris,44.0%,0.23%,43.5%,44.5%,Water/wetland,NA,40.9%,0,1
gresca,Greater Scaup,Aythya marila,43.5%,0.70%,42.2%,44.9%,Water/wetland,NA,21.4%,0,1
canvas,Canvasback,Aythya valisineria,43.9%,1.86%,40.3%,47.6%,Water/wetland,NA,47.2%,0,0
blctit4,Black-crested Titmouse,Baeolophus atricristatus,44.0%,0.36%,43.3%,44.7%,Aridlands,NA,25.4%,0,1
tuftit,Tufted Titmouse,Baeolophus bicolor,44.0%,0.09%,43.8%,44.2%,Forest,NA,73.7%,1,0
oaktit,Oak Titmouse,Baeolophus inornatus,44.0%,0.57%,42.9%,45.1%,Forest,NA,66.7%,1,0
juntit1,Juniper Titmouse,Baeolophus ridgwayi,44.0%,0.28%,43.4%,44.5%,Forest,NA,14.8%,0,1
britit,Bridled Titmouse,Baeolophus wollweberi,44.0%,0.87%,42.3%,45.7%,Forest,NA,31.0%,0,1
uplsan,Upland Sandpiper,Bartramia longicauda,44.0%,0.12%,43.8%,44.2%,Grasslands,NA,34.9%,0,1
cedwax,Cedar Waxwing,Bombycilla cedrorum,44.0%,0.06%,43.9%,44.1%,Forest,NA,55.6%,1,0
bohwax,Bohemian Waxwing,Bombycilla garrulus,44.0%,0.30%,43.4%,44.6%,Forest,NA,66.2%,1,0
rufgro,Ruffed Grouse,Bonasa umbellus,44.0%,0.20%,43.6%,44.4%,Forest,NA,94.2%,1,0
amebit,American Bittern,Botaurus lentiginosus,44.0%,0.18%,43.6%,44.3%,Water/wetland,NA,54.2%,1,0
brant,Brant,Branta bernicla,43.6%,1.15%,41.3%,45.8%,Water/wetland,NA,1.8%,0,1
cangoo,Canada Goose,Branta canadensis,44.0%,0.12%,43.8%,44.2%,Water/wetland,NA,44.1%,0,0
cacgoo1,Cackling Goose,Branta hutchinsii,44.0%,0.34%,43.3%,44.6%,Water/wetland,NA,26.8%,0,1
snoowl1,Snowy Owl,Bubo scandiacus,43.3%,0.31%,42.7%,44.0%,Water/wetland,Tipping Point,16.2%,0,1
grhowl,Great Horned Owl,Bubo virginianus,44.0%,0.06%,43.9%,44.1%,Habitat Generalist,NA,38.7%,0,1
categr,Cattle Egret,Bubulcus ibis,44.0%,0.55%,42.9%,45.0%,Water/wetland,NA,43.3%,0,0
buffle,Bufflehead,Bucephala albeola,43.6%,0.27%,43.1%,44.2%,Water/wetland,NA,45.3%,1,0
comgol,Common Goldeneye,Bucephala clangula,43.7%,0.43%,42.9%,44.6%,Water/wetland,NA,44.8%,1,0
bargol,Barrow's Goldeneye,Bucephala islandica,43.1%,0.52%,42.1%,44.1%,Water/wetland,NA,48.2%,1,0
